iter	Passed	Remaining
0	53	53725
1	54	27076
2	54	18181
3	55	13756
4	55	11078
5	56	9314
6	56	8051
7	57	7094
8	57	6355
9	58	5764
10	58	5284
11	59	4882
12	59	4523
13	60	4236
14	60	3982
15	61	3761
16	61	3565
17	62	3389
18	62	3230
19	63	3089
20	63	2962
21	64	2846
22	64	2738
23	64	2639
24	65	2549
25	65	2467
26	66	2390
27	66	2318
28	67	2252
29	67	2188
30	67	2123
31	68	2069
32	68	2016
33	69	1969
34	69	1924
35	70	1882
36	70	1840
37	71	1800
38	71	1764
39	72	1730
40	72	1698
41	73	1667
42	73	1637
43	74	1610
44	74	1583
45	75	1557
46	75	1532
47	76	1509
48	76	1487
49	77	1463
50	77	1442
51	77	1421
52	78	1399
53	78	1381
54	79	1363
55	79	1345
56	80	1328
57	80	1312
58	81	1296
59	81	1280
60	82	1262
61	82	1247
62	82	1232
63	83	1218
64	83	1204
65	84	1191
66	84	1178
67	85	1166
68	85	1154
69	86	1142
70	86	1131
71	86	1121
72	87	1110
73	87	1100
74	88	1090
75	88	1080
76	89	1071
77	89	1062
78	90	1053
79	90	1044
80	91	1036
81	91	1027
82	92	1019
83	92	1011
84	93	1004
85	93	996
86	94	989
87	94	982
88	95	975
89	95	968
90	96	961
91	96	954
92	97	948
93	97	941
94	98	934
95	98	928
96	99	922
97	99	916
98	100	910
99	100	904
100	101	899
101	101	893
102	101	888
103	102	882
104	102	876
105	103	872
106	103	867
107	104	862
108	104	857
109	105	852
110	105	846
111	105	840
112	106	835
113	106	830
114	107	826
115	107	822
116	108	817
117	108	814
118	109	809
119	109	806
120	110	801
121	110	797
122	111	793
123	111	789
124	112	784
125	112	780
126	112	775
127	113	771
128	113	767
129	114	764
130	114	760
131	115	757
132	115	753
133	116	750
134	116	747
135	117	743
136	117	740
137	118	737
138	118	735
139	119	732
140	119	729
141	120	726
142	120	723
143	121	720
144	121	717
145	122	714
146	122	711
147	123	708
148	123	705
149	123	702
150	124	699
151	124	696
152	125	695
153	125	692
154	126	689
155	126	686
156	127	684
157	127	681
158	128	679
159	128	676
160	129	674
161	129	672
162	130	669
163	130	667
164	131	665
165	131	662
166	132	660
167	132	658
168	133	654
169	133	652
170	134	650
171	134	648
172	135	646
173	135	644
174	136	642
175	136	640
176	137	638
177	137	635
178	138	633
179	138	631
180	139	629
181	139	626
182	139	624
183	140	622
184	140	620
185	141	618
186	141	616
187	142	613
188	142	611
189	143	610
190	143	608
191	144	606
192	144	604
193	144	602
194	145	600
195	145	598
196	146	596
197	146	594
198	147	592
199	147	591
200	148	589
201	148	587
202	149	585
203	149	583
204	150	582
205	150	580
206	151	578
207	151	577
208	152	575
209	152	573
210	153	572
211	153	570
212	153	568
213	154	567
214	154	565
215	155	563
216	155	562
217	156	560
218	156	558
219	157	557
220	157	555
221	158	553
222	158	552
223	158	550
224	159	548
225	159	547
226	160	545
227	160	544
228	161	542
229	161	541
230	162	539
231	162	538
232	163	536
233	163	535
234	163	533
235	164	531
236	164	530
237	165	528
238	165	527
239	166	526
240	166	524
241	167	523
242	167	521
243	167	520
244	168	519
245	169	518
246	169	517
247	170	515
248	170	514
249	171	513
250	171	512
251	172	510
252	172	509
253	173	508
254	173	507
255	174	505
256	174	504
257	175	503
258	175	502
259	176	500
260	176	499
261	176	498
262	177	497
263	177	496
264	178	494
265	178	493
266	179	492
267	179	491
268	180	489
269	180	488
270	181	487
